t, ch0, ch1, ch2, ch3, ch4, ch5, ch6, ch7, x, y
1486636456.5875924, -94, 21, 3, -17, -120, -131, -167, -120, 50, 1390
1486636456.5876331, -14, -2, 18, 5, 70, -148, -181, -118, 50, 1390
1486636456.5876586, 98, -30, 24, 24, 261, -166, -199, -127, 50, 1390
1486636456.5876799, 94, -10, 23, 12, 63, -193, -215, -153, 50, 1390
1486636456.5876992, -10, 24, 3, -13, -201, -219, -227, -184, 50, 1390
1486636456.5877185, -92, 16, 16, -18, -193, -231, -231, -190, 50, 1390
1486636456.5877404, -9, -12, 22, 8, 57, -234, -245, -181, 50, 1390
1486636456.5877597, 101, -28, 37, 20, 196, -237, -239, -176, 50, 1390
1486636456.5877786, 86, -1, 27, -1, 0, -239, -238, -187, 50, 1390
1486636456.5877972, -37, 18, 14, -14, -113, -105, -146, -94, 50, 1390
1486636456.5878158, -90, 20, 10, -4, -168, -239, -236, -189, 50, 1390
1486636456.5878341, 6, -11, 23, 12, 124, -233, -246, -178, 50, 1390
1486636456.5878527, 116, -23, 32, 26, 261, -166, -199, -127, 50, 1390
1486636456.587871, 78, 10, 25, 2, 21, -222, -227, -175, 50, 1390
1486636456.5878897, -71, 9, 21, -15, -52, -209, -229, -145, 50, 1390
1486636456.5879078, 44, -23, 36, 20, 209, -202, -233, -129, 50, 1390
1486636456.5879283, -2, 20, 18, -15, -59, -97, -161, -57, 50, 1390
1486636456.587949, -101, 23, 3, -31, -53, -75, -149, -36, 50, 1390
1486636456.5879695, -17, -10, 11, -1, 209, -39, -134, 0, 50, 1390
1486636456.5879908, 97, -25, 30, 20, 410, -7, -120, 35, 50, 1390
1486636456.58801, -54, 15, 10, -20, 29, 86, -23, 79, 50, 1390
1486636456.5880282, -75, 11, 14, -12, 163, 79, -30, 89, 50, 1390
1486636456.5886915, 12, -19, 31, 12, 388, 89, -39, 91, 50, 1390
1486636456.5887237, 131, -29, 37, 6, 430, 94, -34, 102, 50, 1390
1486636456.5887473, 27, 11, 18, -17, 130, 75, -47, 54, 50, 1390
1486636456.5887678, -91, 27, 3, -21, 81, 78, -42, 48, 50, 1390
1486636456.5887876, -38, -12, 12, -1, 246, 69, -58, 58, 50, 1390
1486636456.5888069, 93, -29, 35, 11, 475, 79, -49, 77, 50, 1390
1486636456.5888293, -27, 21, 7, -16, 33, 65, -7, 51, 50, 1390
1486636456.5888503, -92, 16, 11, -14, 58, 68, -8, 47, 50, 1390
1486636456.5888693, 8, -6, 22, -11, 307, 68, -22, 56, 50, 1390
1486636456.5888882, 110, -24, 43, 16, 406, 75, -22, 70, 50, 1390
1486636456.5889068, 128, -26, 41, 29, 378, 63, -28, 63, 50, 1390
1486636456.5889275, 45, 0, 31, 8, 124, 60, -20, 43, 50, 1390
1486636456.588947, -79, 16, 10, -13, -28, 53, -20, 39, 50, 1390
1486636456.588966, -66, 4, 12, -8, 168, 51, -32, 43, 50, 1390
1486636456.5889847, 64, -32, 26, 18, 371, 57, -30, 66, 50, 1390
1486636456.5890036, 126, -22, 39, 18, 350, 63, -21, 68, 50, 1390
1486636456.5890222, 28, -3, 32, 5, 81, 59, -18, 53, 50, 1390
1486636456.5890408, -93, 17, 9, -17, -16, 54, -16, 46, 50, 1390
1486636456.589059, -57, -5, 10, -7, 142, 53, -24, 52, 50, 1390
1486636456.5890806, 83, -24, 33, 13, 394, 59, -26, 72, 50, 1390
1486636456.589101, 123, -22, 33, 18, 328, 63, -17, 70, 50, 1390
1486636456.5891197, 19, 9, 14, -3, 75, 50, -16, 50, 50, 1390
1486636456.5891383, -94, 22, -3, -21, -9, 48, -19, 46, 50, 1390
1486636456.5896027, -28, -9, 24, -9, 184, 50, -27, 53, 50, 1390
1486636456.5896347, 92, -26, 30, 19, 409, 52, -25, 75, 50, 1390
1486636456.589657, 103, -17, 27, 5, 286, 46, -23, 70, 50, 1390
1486636456.589677, 8, 17, 4, -13, 52, 49, -12, 59, 50, 1390
1486636456.5896964, -86, 16, 6, -15, 24, 50, -18, 46, 50, 1390
1486636456.5897155, -14, -8, 15, 5, 236, 45, -29, 58, 50, 1390
1486636456.5897343, 95, -28, 37, 18, 427, 54, -26, 70, 50, 1390
1486636456.5897532, 100, -11, 26, 5, 249, 53, -21, 70, 50, 1390
1486636456.5897715, -13, 21, 20, -13, -4, 50, -12, 51, 50, 1390
1486636456.5897899, -97, 13, 11, -10, 57, 48, -19, 44, 50, 1390
1486636456.5898085, -5, -3, 20, 11, 289, 48, -25, 63, 50, 1390
1486636456.5898268, 98, -31, 29, 20, 406, 52, -30, 68, 50, 1390
1486636456.5898504, 87, -13, 24, 4, 240, 46, -19, 64, 50, 1390
1486636456.58987, -32, 17, 9, -12, -6, 42, -12, 44, 50, 1390
1486636456.5898895, -88, 12, 7, -14, 72, 42, -18, 45, 50, 1390
1486636456.5899084, 2, -14, 17, 3, 283, 48, -22, 61, 50, 1390
1486636456.589927, 123, -34, 39, 25, 402, 54, -23, 72, 50, 1390
1486636456.589953, 80, -4, 16, 6, 200, 50, -15, 57, 50, 1390
1486636456.5899718, -54, 19, 2, -13, -4, 50, -12, 51, 50, 1390
1486636456.5899913, -85, 18, 1, -13, 82, 43, -21, 38, 50, 1390
1486636456.5900104, 11, -11, 28, 5, 307, 44, -24, 59, 50, 1390
1486636456.590031, 123, -34, 31, 26, 373, 52, -30, 68, 50, 1390
1486636456.5900517, 64, 6, 29, 7, 181, 48, -12, 54, 50, 1390
1486636456.5900726, -59, 28, 10, -16, -66, 39, -22, 41, 50, 1390
1486636456.5941117, -78, 12, 7, -14, 72, 42, -18, 45, 50, 1390
1486636456.594147, 132, -22, 33, 14, 365, 45, -29, 60, 50, 1390
1486636456.5941706, 44, 3, 26, 3, 402, 54, -23, 72, 50, 1390
1486636456.5941913, -62, 24, 6, -30, -44, 35, -20, 41, 50, 1390
1486636456.5942116, -69, 4, 7, -10, 128, 42, -23, 49, 50, 1390
1486636456.594231, 52, -20, 28, 15, 98, 43, -21, 38, 50, 1390
1486636456.5942497, 128, -24, 34, 27, 324, 47, -18, 62, 50, 1390
1486636456.5942683, 31, 5, 24, 3, 94, 45, -8, 49, 50, 1390
1486636456.594287, -74, 20, 4, -15, -28, 36, -12, 54, 50, 1390
1486636456.5943055, -55, -1, 21, 1, 169, 40, -26, 44, 50, 1390
1486636456.5943239, 73, -25, 35, 13, 359, 52, -21, 62, 50, 1390
1486636456.5943425, 123, -19, 44, 22, 330, 50, -29, 60, 50, 1390
1486636456.5943608, 29, 14, 22, 0, 40, 46, -8, 46, 50, 1390
1486636456.5943792, -82, 20, 15, -20, 1, 41, -17, 38, 50, 1390
1486636456.5943975, -49, -11, 23, 1, 159, 37, -25, 46, 50, 1390
1486636456.594416, 92, -26, 40, 16, 380, 48, -27, 62, 50, 1390
1486636456.5944343, 112, -11, 37, 12, 282, 48, -15, 58, 50, 1390
1486636456.5944526, 21, 16, 17, -16, 45, 39, -13, 46, 50, 1390
1486636456.5944738, -104, 21, 4, -23, -7, 43, -13, 38, 50, 1390
1486636456.5944946, -17, -8, 20, -8, 182, 45, -16, 52, 50, 1390
1486636456.594515, 103, -23, 32, 24, 415, 52, -21, 62, 50, 1390
1486636456.5945344, 109, -16, 23, 18, 261, 47, -17, 62, 50, 1390
1486636456.5945525, -7, 12, 1, -15, 27, 43, -13, 46, 50, 1390
1486636456.5956988, -96, 22, 9, -12, 23, 41, -17, 38, 50, 1390
1486636456.59574, -10, -9, 14, 13, 229, 36, -26, 50, 50, 1390
1486636456.5957632, 97, -26, 36, 27, 428, 45, -18, 68, 50, 1390
1486636456.5957882, 102, -4, 23, 11, 225, 42, -11, 58, 50, 1390
1486636456.5958085, -24, 21, 14, -22, -6, 44, -6, 46, 50, 1390
1486636456.595828, -86, 22, 10, -22, 35, 38, -17, 40, 50, 1390
1486636456.595847, -8, -15, 17, 3, 293, 40, -21, 53, 50, 1390
1486636456.5958655, 105, -29, 24, 17, 413, 48, -21, 64, 50, 1390
1486636456.5959096, 89, -3, 34, 1, 205, 45, -13, 57, 50, 1390
1486636456.5959291, -45, 23, 0, -15, -19, 32, -18, 37, 50, 1390
1486636456.595948, -91, 12, 14, -10, 81, 34, -19, 46, 50, 1390
1486636456.5959668, 5, -17, 22, 13, 303, 43, -23, 57, 50, 1390
1486636456.5959854, 115, -30, 38, 24, 373, 48, -11, 67, 50, 1390
1486636456.5960038, 60, 0, 30, 6, 186, 46, 1, 66, 50, 1390
1486636456.5960224, -56, 23, 11, -23, -53, 42, 4, 50, 50, 1390
1486636456.5960412, -75, 9, 14, -15, 68, 42, -4, 52, 50, 1390
1486636456.5960624, 22, -24, 37, 4, 309, 42, -17, 70, 50, 1390
1486636456.5960817, 132, -19, 41, 13, 382, 43, -19, 70, 50, 1390
1486636456.5961003, 56, 0, 25, -2, 167, 45, -13, 57, 50, 1390
1486636456.5961187, -71, 23, 10, -20, -51, 39, -6, 41, 50, 1390
1486636456.5961397, -78, 10, 10, -5, 108, 38, -13, 47, 50, 1390
1486636456.5961587, 36, -22, 27, 17, 355, 43, -11, 67, 50, 1390
1486636456.596177, 142, -25, 32, 14, 336, 47, -7, 70, 50, 1390
1486636456.596787, 49, 15, 26, -1, 84, 39, 4, 56, 50, 1390
1486636456.5968187, -67, 22, 9, -23, -44, 35, 3, 47, 50, 1390
